metric,mean_accuracy,std_dev,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
Cosine (No Quant),82.6744,1.1974963214974819,82.312,83.16799999999999,80.536,82.312,84.232,83.832,84.21600000000001,81.024,82.98400000000001,82.128
Cosine,82.56320000000001,1.1564812838952478,83.816,83.232,81.16,81.32000000000001,83.968,82.824,84.272,81.352,82.28,81.408
L-1,81.9272,0.8987062701461499,82.48,81.632,81.91199999999999,81.8,82.48,81.192,84.04,80.76,82.04,80.93599999999999
L-inf,80.928,1.0285337135942567,80.208,82.368,80.77600000000001,80.296,82.6,81.464,81.512,79.2,79.85600000000001,81.0
