Method,Dist,recall@100,recall@500,recall@1000,time
Direct INT3 (128D),Standard L2,0.739395,0.995881,0.999801,4.584426641464233
AvgPool (64D),Grouped L2,0.257282,0.570928,0.714264,10.567197561264038
PCA (64D),Grouped L2,0.432268,0.794764,0.894956,10.59269094467163
AutoEncoder (64D),Grouped L2,0.54324,0.91725,0.975551,10.770447015762329
