Method,Dist,recall@100,recall@500,recall@1000,time
Direct INT3 (128D),Standard L2,0.739395,0.995881,0.999801,4.530054092407227
AvgPool (64D),Grouped L2,0.257282,0.570928,0.714264,10.582659244537354
AvgPool (64D),Standard L2,0.28508,0.617576,0.757414,3.9901061058044434
PCA (64D),Grouped L2,0.432268,0.794764,0.894956,10.621315002441406
PCA (64D),Standard L2,0.411234,0.762045,0.86718,4.01948094367981
AutoEncoder (64D),Grouped L2,0.54262,0.916933,0.975367,10.71932578086853
AutoEncoder (64D),Standard L2,0.556045,0.928034,0.98048,4.0538671016693115
