57.61,57.29,56.42,55.36,54.33,53.30,52.28,51.27,50.33,49.42,48.58
58.57,58.55,58.55,58.48,58.43,58.36,58.22,58.05,57.92,57.73,57.55
59.73,59.74,59.63,59.65,59.57,59.51,59.48,59.43,59.36,59.29,59.25
58.49,58.46,58.49,58.59,58.67,58.65,58.60,58.57,58.57,58.56,58.53
58.66,58.65,58.59,58.55,58.53,58.52,58.52,58.53,58.49,58.46,58.44
55.59,55.70,55.70,55.69,55.73,55.72,55.73,55.74,55.74,55.72,55.72
57.88,57.85,57.93,57.97,57.95,57.92,57.95,57.91,57.94,57.95,57.96
56.15,56.09,56.10,56.12,56.10,56.05,56.05,56.04,56.00,56.03,56.02
55.76,55.86,55.84,55.74,55.68,55.68,55.68,55.66,55.67,55.67,55.67
55.66,55.51,55.47,55.42,55.47,55.49,55.48,55.46,55.45,55.43,55.42
55.98,55.95,56.05,56.10,56.09,56.10,56.10,56.09,56.08,56.09,56.08
