59.98,58.75,57.67,56.64,55.61,54.75,53.88,53.16,52.46,51.78,51.19
59.95,60.32,60.34,60.31,60.12,60.01,59.87,59.69,59.62,59.44,59.23
61.30,61.37,61.30,61.15,61.22,61.28,61.23,61.20,61.14,60.99,60.86
63.22,63.02,63.06,63.15,63.15,63.10,63.04,63.02,62.91,62.83,62.77
62.37,62.47,62.41,62.38,62.31,62.28,62.36,62.28,62.15,62.11,61.99
61.76,61.75,61.62,61.53,61.67,61.61,61.59,61.57,61.57,61.60,61.58
59.38,59.32,59.46,59.62,59.56,59.46,59.45,59.42,59.34,59.27,59.23
62.30,62.01,62.00,61.97,61.94,61.90,61.90,61.88,61.92,61.88,61.90
64.04,63.46,63.51,63.55,63.55,63.59,63.61,63.61,63.57,63.54,63.54
62.30,62.24,62.13,62.05,62.15,62.20,62.18,62.20,62.24,62.27,62.19
61.04,60.76,60.87,60.96,61.03,61.06,61.09,61.02,61.08,61.07,61.08
