82.78,79.92,76.60,73.49,70.65,68.11,65.88,63.91,62.10,60.50,59.05
78.55,78.21,77.64,76.94,76.23,75.55,74.82,74.13,73.41,72.68,71.99
81.69,81.33,80.90,80.25,79.49,78.75,77.98,77.24,76.52,75.83,75.13
79.20,79.20,79.07,78.93,78.77,78.52,78.26,77.99,77.70,77.39,77.05
77.28,77.20,77.05,76.98,76.86,76.65,76.42,76.19,75.90,75.63,75.36
80.85,80.78,80.74,80.75,80.57,80.37,80.13,79.87,79.60,79.34,79.08
82.01,82.05,82.12,82.03,81.91,81.74,81.57,81.35,81.18,80.97,80.76
80.91,81.02,80.93,80.93,80.88,80.80,80.70,80.60,80.45,80.30,80.17
79.66,79.80,79.78,79.66,79.58,79.48,79.42,79.34,79.20,79.07,78.94
79.03,79.25,79.22,79.23,79.22,79.18,79.10,79.03,78.89,78.78,78.66
78.63,78.82,78.85,78.82,78.81,78.71,78.61,78.52,78.43,78.27,78.15
