75.52,75.22,74.57,73.86,73.21,72.50,71.85,71.21,70.53,69.91,69.26
78.02,78.16,78.19,78.17,78.16,78.11,78.05,78.00,77.89,77.82,77.73
77.04,77.05,77.06,76.99,77.04,77.04,77.01,76.94,76.91,76.85,76.81
76.76,76.91,76.98,76.93,76.96,76.90,76.90,76.89,76.88,76.84,76.81
77.64,77.72,77.71,77.69,77.82,77.78,77.77,77.78,77.74,77.77,77.70
75.91,75.99,76.14,76.23,76.27,76.34,76.34,76.31,76.25,76.22,76.17
77.08,76.88,76.90,76.83,76.81,76.82,76.84,76.88,76.87,76.84,76.83
76.91,76.96,76.97,76.89,76.86,76.92,76.99,77.02,77.00,77.04,77.00
75.96,75.95,75.96,76.14,76.14,76.20,76.20,76.19,76.18,76.14,76.16
76.78,76.89,76.91,76.93,76.91,76.91,76.89,76.89,76.91,76.88,76.87
76.04,75.86,75.87,75.91,75.79,75.73,75.74,75.79,75.80,75.81,75.84
