Distance_Metric,Mean_Noise_Strength,Std_Noise_Strength,Min_Noise_Strength,Max_Noise_Strength,Median_Noise_Strength,Valid_Iterations
L2,0.17043155878782273,0.026594585654647437,0.1293308287858963,0.22462159395217896,0.17223189026117325,10
L1,0.173060405254364,0.02535547783206545,0.13190336525440216,0.22134539484977722,0.17427894473075867,10
L-inf,0.17898267805576323,0.026170418825885614,0.14227509498596191,0.24023199081420898,0.17391987144947052,10
LSH,0.06749593243002891,0.002756800022149799,0.0643579512834549,0.07344727218151093,0.06673826277256012,10
