Method,Accuracy,Std Dev,Time (s)
Baseline (Float32),0.9647599728107452,0.020979561506319067,1.3442039489746094e-06
Direct INT3,0.9527999798059463,0.024358972934740986,0.003910476207733154
AvgPool + INT3,0.9328599818944932,0.030913108966302054,0.003810593605041504
PCA + INT3,0.9266799795627594,0.035935742295812055,0.004254066467285157
MaxMagPool + INT3,0.9036999813318253,0.03645421874137862,0.0038606276512145998
AE + INT3,0.9416599807739258,0.03040138435609005,0.003863966464996338
