58.93,58.89,58.86,58.78,58.72,58.54,58.39,58.19,58.01,57.79,57.58
57.88,57.61,57.52,57.53,57.53,57.51,57.48,57.42,57.32,57.24,57.11
57.00,57.08,57.07,57.10,57.10,57.16,57.10,57.08,57.06,57.01,56.97
59.22,59.22,59.17,59.16,59.15,59.10,59.07,59.04,59.04,59.03,59.01
58.35,58.29,58.25,58.27,58.25,58.24,58.18,58.16,58.12,58.07,58.06
57.79,58.11,58.19,58.23,58.30,58.25,58.25,58.26,58.27,58.26,58.23
58.22,58.20,58.18,58.21,58.21,58.19,58.16,58.17,58.18,58.16,58.14
58.42,58.53,58.64,58.73,58.73,58.73,58.74,58.72,58.71,58.75,58.74
58.99,58.97,59.05,59.06,59.05,59.01,59.02,59.02,59.05,59.02,59.03
58.38,58.28,58.29,58.33,58.34,58.38,58.38,58.40,58.41,58.39,58.39
58.46,58.49,58.40,58.44,58.39,58.40,58.38,58.37,58.35,58.34,58.36
