57.06,56.94,56.88,56.88,56.88,56.88,56.91,56.88,56.86,56.81,56.81
58.21,58.19,58.15,58.17,58.18,58.19,58.18,58.20,58.18,58.16,58.16
57.69,57.68,57.63,57.62,57.61,57.63,57.64,57.63,57.63,57.62,57.62
58.10,58.15,58.06,58.03,58.02,57.98,57.96,57.90,57.91,57.90,57.91
58.58,58.50,58.51,58.57,58.55,58.55,58.57,58.58,58.61,58.58,58.61
58.60,58.45,58.42,58.44,58.44,58.41,58.38,58.39,58.38,58.36,58.36
59.42,59.27,59.30,59.26,59.25,59.25,59.25,59.26,59.24,59.25,59.25
59.55,59.53,59.55,59.60,59.56,59.61,59.61,59.61,59.60,59.62,59.60
59.01,58.92,58.88,58.87,58.87,58.91,58.89,58.88,58.86,58.83,58.82
58.32,58.41,58.27,58.32,58.26,58.25,58.30,58.31,58.32,58.29,58.28
58.81,58.91,58.84,58.90,58.93,58.95,58.91,58.89,58.90,58.87,58.88
