method,time,recall@1000,recall@5000,recall@10000,search_time,qps
Method 1: Direct INT3 (Quantile),2.1427416801452637,0.68698,0.9174,0.96435,2.005324602127075,498.6723839817685
Method 2: AvgPooling + INT3 (Quantile),2.0429131984710693,0.62578,0.8816,0.94334,1.92295503616333,520.0329603104994
Method 3: PCA + INT3 (Quantile),15.327862977981567,0.85981,0.97928,0.99361,1.9552719593048096,511.43780548847366
Method 4: Max Mag Pooling + INT3 (Quantile),2.0326783657073975,0.6399,0.89001,0.94887,1.9156138896942139,522.0258661622192
Method 5: AutoEncoder + INT3 (Quantile),1360.4286708831787,0.7846,0.94734,0.97667,1.9077129364013672,524.187880114898
