method,time,recall@1000,recall@5000,recall@10000,search_time,qps
Method 1: Direct INT3 (Quantile),1.7558739185333252,0.85164,0.98659,0.99781,1.7376704216003418,575.4831224433401
Method 2: AvgPooling + INT3 (Quantile),1.7547125816345215,0.8206,0.98113,0.9965,1.7406492233276367,574.4982886835054
Method 3: PCA + INT3 (Quantile),3.1124324798583984,0.91275,0.99248,0.99836,1.7424237728118896,573.9131981574261
Method 4: Max Mag Pooling + INT3 (Quantile),1.7472126483917236,0.8275,0.98276,0.99722,1.732814073562622,577.0959592589326
Method 5: AutoEncoder + INT3 (Quantile),139.47951006889343,0.9236,0.99586,0.99935,1.7410857677459717,574.3542440730021
