method,time,recall@1000,recall@5000,recall@10000,search_time,qps
Method 1: Direct INT3 (Standard),2.03263258934021,0.99995,1.0,1.0,1.9165468215942383,521.7717557080977
Method 2: AvgPooling + INT3 (Standard),2.007061719894409,0.73261,0.95005,0.98435,1.889162302017212,529.3351444352975
Method 3: PCA + INT3 (Standard),14.690841913223267,0.78664,0.95322,0.98134,1.8944027423858643,527.8708574611604
Method 4: Max Mag Pooling + INT3 (Standard),2.041114568710327,0.88637,0.99275,0.99879,1.923811435699463,519.8014636171545
Method 5: AutoEncoder + INT3 (Standard),1363.322471857071,0.07055,0.19664,0.28914,1.864973545074463,536.2006354680344
