metric,mean_accuracy,std_dev,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
Cosine (No Quant),98.44399999999999,0.16270709880026524,98.504,98.55199999999999,98.152,98.672,98.19200000000001,98.488,98.648,98.432,98.424,98.37599999999999
Cosine,98.42479999999998,0.2391036595286672,98.432,98.528,98.208,98.68,98.424,98.384,98.664,98.664,97.848,98.416
L-1,92.3544,0.9223764090651931,94.08,93.32000000000001,91.816,93.56,91.36,91.888,92.592,91.424,91.75999999999999,91.744
L-inf,91.7328,0.8221665038178073,93.304,92.704,91.048,92.28,91.072,91.08000000000001,92.104,90.56,91.304,91.872
