method,time,recall@1000,recall@5000,recall@10000,search_time,qps
Method 1: Direct INT3,2.0170507431030273,0.99995,1.0,1.0,1.890550136566162,528.9465646313495
Method 2: AvgPooling + INT3,1.989781141281128,0.73261,0.95005,0.98435,1.865288496017456,536.110098858746
Method 3: PCA + INT3,14.88518762588501,0.78566,0.95366,0.98145,1.8593473434448242,537.8231256927465
Method 4: Max Mag Pooling + INT3,1.982745885848999,0.88637,0.99275,0.99879,1.8589215278625488,537.9463226453856
Method 5: AutoEncoder + INT3,1374.0386266708374,0.01533,0.05922,0.10134,1.824429988861084,548.1164013447611
