x,pca_ae_recall@100,pca_ae_recall@500,pca_ae_recall@1000,pca_only_recall@100,pca_only_recall@500,pca_only_recall@1000,ae_only_recall@100,ae_only_recall@500,ae_only_recall@1000
16,0.22271300000000002,0.520139,0.666286,0.169636,0.420029,0.561229,0.25567999999999996,0.583204,0.7308590000000001
32,0.37841600000000003,0.7369600000000001,0.853542,0.332959,0.6800219999999999,0.8087639999999999,0.25567999999999996,0.583204,0.7308590000000001
48,0.41438,0.7706310000000001,0.8752869999999999,0.39703999999999995,0.753861,0.864073,0.25567999999999996,0.583204,0.7308590000000001
64,0.408675,0.75518,0.860024,0.41393,0.7660509999999998,0.87018,0.25567999999999996,0.583204,0.7308590000000001
80,0.31406,0.604507,0.715912,0.4019670000000001,0.741418,0.846959,0.25567999999999996,0.583204,0.7308590000000001
96,0.27351200000000003,0.533499,0.6415,0.38355300000000003,0.7100069999999999,0.818096,0.25567999999999996,0.583204,0.7308590000000001
112,0.24149099999999998,0.477797,0.582044,0.35875,0.670617,0.780714,0.25567999999999996,0.583204,0.7308590000000001
128,0.209912,0.4217620000000001,0.520224,0.33167300000000005,0.625754,0.7365630000000001,0.25567999999999996,0.583204,0.7308590000000001
