metric,mean_accuracy,std_dev,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
Cosine (No Quant),86.4408,0.904965502104915,86.896,86.136,85.056,86.68,86.768,86.304,86.064,86.48,85.432,88.592
Cosine,86.9232,0.9612471898528488,87.424,87.144,86.264,87.464,87.536,86.72800000000001,86.208,87.336,84.712,88.416
L-1,86.28,0.822429571452778,86.512,86.72800000000001,86.304,86.568,86.752,85.824,84.552,87.024,85.16,87.376
L-inf,85.04159999999999,1.0519364239344486,86.55199999999999,86.328,83.98400000000001,83.688,85.616,83.96000000000001,84.14399999999999,85.584,84.42399999999999,86.136
Hamming,70.1488,4.813456072303978,69.88,72.52,66.904,68.42399999999999,71.256,71.76,76.64800000000001,58.48799999999999,69.94399999999999,75.664
