metric,mean_accuracy,std_dev,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
Cosine (No Quant),82.3664,0.8171662254400889,81.696,83.352,82.336,81.272,83.8,83.24000000000001,82.208,81.42399999999999,81.816,82.52000000000001
Cosine,82.3704,0.8646519762308992,82.12,84.248,81.976,81.056,83.42399999999999,82.03200000000001,82.464,82.176,81.56,82.648
L-1,81.67280000000001,1.1776937462685262,79.392,81.976,80.728,81.57600000000001,83.39999999999999,83.136,81.08800000000001,82.872,80.80000000000001,81.76
L-inf,80.884,0.9300752657715406,79.776,79.93599999999999,79.976,80.896,82.664,81.104,82.232,80.12,81.152,80.984
