method,time,recall@1000,recall@5000,recall@10000,search_time,qps
Method 1: Direct INT3 (Standard),2.3659753799438477,1.0,1.0,1.0,2.0067293643951416,498.32330046229976
Method 2: AvgPooling + INT3 (Standard),1.8559608459472656,0.90653,0.99712,0.9998,1.81001877784729,552.4804561361127
Method 3: PCA + INT3 (Standard),3.171175718307495,0.85326,0.9812,0.99542,1.7486882209777832,571.8572287522172
Method 4: Max Mag Pooling + INT3 (Standard),1.7742588520050049,0.9637,0.99968,0.99999,1.7253215312957764,579.6021100188585
Method 5: AutoEncoder + INT3 (Standard),139.52577805519104,0.23274,0.54179,0.71864,1.7584824562072754,568.6721505068733
