x,recall@100,recall@500,recall@1000
16,0.238817,0.5500490000000001,0.696421
32,0.436242,0.807603,0.906091
48,0.49366499999999996,0.8499709999999999,0.930199
64,0.49027199999999993,0.8365970000000001,0.917626
80,0.36154000000000003,0.6587879999999999,0.76133
96,0.315456,0.584257,0.6861440000000001
112,0.28160799999999997,0.529237,0.62965
128,0.23895300000000003,0.45789399999999997,0.552573
