method,time,recall@1000,recall@5000,recall@10000,search_time,qps
Method 1: Direct INT3,2.158174991607666,1.0,1.0,1.0,1.887664794921875,529.7550723466171
Method 2: AvgPooling + INT3,1.7983732223510742,0.90653,0.99712,0.9998,1.7674560546875,565.7849298984737
Method 3: PCA + INT3,3.176586627960205,0.85223,0.98058,0.99515,1.7520031929016113,570.7752155085016
Method 4: Max Mag Pooling + INT3,1.854694128036499,0.9637,0.99968,0.99999,1.8132259845733643,551.5032370525458
Method 5: AutoEncoder + INT3,139.8238639831543,0.43452,0.7796,0.90112,1.7715227603912354,564.4861146345944
